MAP_PAR_ID,j_new_cons,j_renovati,j_occupanc,ownertype,j_zip,Year,valuation,Long,Lat
1809294000,FALSE,FALSE,1-2FAM,*,2136,2014,27000,-71.12676339,42.24954626
1400155000,FALSE,TRUE,1-3FAM,c,2121,2014,3500,-71.07363345,42.31210084
1400355000,FALSE,FALSE,1-3FAM,*,2121,2012,500,-71.07429295,42.30918481
2101470000,FALSE,TRUE,Comm,c,2134,2024,13600,-71.13469021,42.34662121
2101659000,FALSE,FALSE,1-2FAM,t,2135,2016,300,-71.1375541,42.34502522
2101793000,FALSE,FALSE,1-2FAM,*,2134,2023,12000,-71.13946396,42.34698048
1807485000,FALSE,TRUE,1-2FAM,*,2136,2016,29000,-71.11089304,42.26248332
1802177000,FALSE,TRUE,1-2FAM,*,2126,2014,1000,-71.0993975,42.27387585
1801047000,FALSE,TRUE,1-2FAM,*,2126,2023,3991.6,-71.09439633,42.27184446
1903269000,FALSE,FALSE,1-2FAM,*,2131,2023,2567,-71.12139909,42.2904253
2010640000,FALSE,FALSE,Comm,c,2132,2022,2250,-71.17228938,42.26927128
1203331000,FALSE,TRUE,1-2FAM,*,2121,2020,8600,-71.09148192,42.31652545
1400713000,FALSE,TRUE,1-2FAM,*,2121,2018,48500,-71.07911362,42.30694981
1301965000,FALSE,TRUE,1-3FAM,c,2125,2019,200,-71.05796767,42.31813085
1301460000,FALSE,FALSE,1-2FAM,t,2125,2013,8700,-71.06207788,42.31347902
1301582000,FALSE,TRUE,1-3FAM,t,2125,2023,2000,-71.06200499,42.3121533
1303253000,FALSE,TRUE,1-2FAM,*,2125,2022,130000,-71.05604444,42.32035567
1302646000,FALSE,FALSE,Comm,*,2125,2023,12970.77,-71.05237524,42.31486776
1902825000,FALSE,FALSE,1-2FAM,*,2130,2021,13156,-71.11700043,42.30020604
2000774000,FALSE,FALSE,1-2FAM,*,2131,2017,9354,-71.14288812,42.28087532
2005075010,FALSE,FALSE,1-2FAM,*,2131,2024,3000,-71.13345106,42.29210591
2006683000,FALSE,FALSE,1-2FAM,*,2132,2024,3699,-71.16072895,42.28968813
1400914000,FALSE,FALSE,1-3FAM,*,2121,2022,1357,-71.08417486,42.30371795
1300758010,FALSE,TRUE,1-3FAM,*,2121,2023,12000,-71.07595549,42.31310249
1400734000,FALSE,TRUE,Multi,c,2121,2019,487.81,-71.08070081,42.30674916
1301356000,FALSE,FALSE,VacLd,*,2125,2021,1900,-71.06482306,42.3167115
1301842000,FALSE,TRUE,1-3FAM,*,2125,2019,17500,-71.06018652,42.31614169
1901392000,FALSE,TRUE,Comm,c,2130,2022,2240,-71.11390891,42.31131573
2101652000,FALSE,FALSE,1-2FAM,*,2135,2018,2137,-71.1370729,42.34573481
2001892000,FALSE,TRUE,1-2FAM,*,2132,2011,2000,-71.14471276,42.27748852
1400367009,FALSE,FALSE,Comm,*,2121,2022,38500,-71.07605766,42.30780363
1302087000,FALSE,FALSE,1-3FAM,*,2125,2014,600,-71.0582878,42.31519312
1302158000,FALSE,TRUE,1-3FAM,*,2125,2024,100,-71.05868482,42.31300336
1802778001,FALSE,FALSE,1-2FAM,*,2126,2022,2917,-71.10103281,42.27413313
1802766000,FALSE,FALSE,1-2FAM,*,2126,2018,7500,-71.10082123,42.27480911
1809275000,TRUE,TRUE,Multi,c,2136,2022,5080600,-71.1249683,42.25391334
1301807000,FALSE,TRUE,1-3FAM,t,2125,2016,17200,-71.06017578,42.31518727
2202867000,FALSE,FALSE,1-2FAM,*,2135,2023,10000,-71.15849055,42.35561772
1001513000,FALSE,FALSE,1-3FAM,c,2130,2023,49500,-71.10458338,42.32631638
2006300000,FALSE,FALSE,1-2FAM,*,2132,2016,28660,-71.15558464,42.29023643
1401258000,FALSE,FALSE,1-3FAM,*,2121,2023,8925,-71.07659774,42.30413816
1401301000,FALSE,FALSE,1-2FAM,*,2121,2023,10000,-71.07385308,42.30128591
1600840000,FALSE,FALSE,1-2FAM,*,2124,2021,8800,-71.06388422,42.29726554
1901194010,FALSE,TRUE,1-3FAM,t,2130,2021,22980,-71.10977835,42.30831152
2100763000,FALSE,TRUE,1-3FAM,c,2134,2011,5000,-71.12729607,42.35181323
2001862000,FALSE,TRUE,1-2FAM,*,2132,2021,2500,-71.14431595,42.27935455
2001866000,FALSE,TRUE,1Unit,*,2132,2018,11600,-71.14362908,42.27933432
1400237000,FALSE,FALSE,1-2FAM,*,2121,2021,360000,-71.07825611,42.31303997
1701065000,FALSE,FALSE,1-2FAM,*,2124,2021,18500,-71.06613006,42.29670808
1401250000,FALSE,FALSE,VacLd,b,2121,2022,10206,-71.07557137,42.3031166
1302134000,FALSE,FALSE,1-2FAM,*,2125,2022,2500,-71.05798569,42.31392848
1301903000,FALSE,TRUE,1-3FAM,t,2125,2018,400,-71.05920742,42.31837211
1302097000,FALSE,FALSE,1-3FAM,t,2125,2021,5217,-71.05918671,42.31483828
1302124000,FALSE,FALSE,Comm,*,2125,2022,2000,-71.05955813,42.31418513
1403536000,FALSE,FALSE,1-2FAM,*,2124,2021,1500,-71.0879317,42.28528573
1403454000,FALSE,FALSE,1-2FAM,*,2124,2020,10095,-71.08701851,42.28321851
1001333000,FALSE,FALSE,1-3FAM,*,2120,2016,3500,-71.1004856,42.32709397
2006137000,FALSE,FALSE,1-2FAM,*,2132,2016,10534,-71.15157487,42.29171809
1802288000,FALSE,FALSE,1-2FAM,*,2126,2016,500,-71.10045512,42.27354946
1802243000,FALSE,TRUE,1-2FAM,*,2126,2019,12000,-71.09928168,42.27231553
1401077000,FALSE,FALSE,1-2FAM,*,2121,2020,1500,-71.07905701,42.30488672
1703164000,FALSE,FALSE,1-2FAM,*,2124,2011,12200,-71.07338039,42.27867465
2100861000,FALSE,FALSE,Comm,*,2134,2012,495226,-71.13044514,42.35099164
1500785000,FALSE,FALSE,1-3FAM,*,2124,2019,5185.84,-71.06961209,42.30065313
1201847000,FALSE,TRUE,1-3FAM,*,2119,2021,6500,-71.08924684,42.3194962
1809427000,FALSE,FALSE,1-2FAM,t,2136,2023,5000,-71.12863614,42.24683516
1400737000,FALSE,FALSE,Comm,b,2121,2022,14000,-71.08109209,42.30708512
1400544000,FALSE,FALSE,Multi,c,2121,2021,2500,-71.07937324,42.31208208
2101418000,FALSE,FALSE,Comm,*,2135,2020,812,-71.13825079,42.34786576
1808185000,FALSE,TRUE,1-3FAM,*,2136,2023,17400,-71.11864633,42.25958813
1801082000,FALSE,FALSE,1-2FAM,*,2126,2021,10000,-71.09541761,42.27015286
2005275000,FALSE,TRUE,1-2FAM,*,2131,2017,17000,-71.12933868,42.28928854
1202061000,FALSE,TRUE,1-2FAM,t,2121,2019,312000,-71.08434898,42.31472456
1301671000,FALSE,TRUE,1-2FAM,*,2125,2023,15000,-71.06270578,42.31219236
1301887000,FALSE,TRUE,1-2FAM,*,2125,2010,2606,-71.06008912,42.31782817
1303316000,FALSE,TRUE,1-3FAM,*,2125,2022,30000,-71.05447505,42.3211243
2001891002,FALSE,TRUE,1-2FAM,*,2132,2022,2548.27,-71.14492003,42.2773094
2007113000,FALSE,TRUE,Multi,*,2132,2022,9500,-71.16286292,42.2895251
2006701000,FALSE,FALSE,1-2FAM,*,2132,2020,1000,-71.16309198,42.28863753
1400143000,FALSE,FALSE,1-3FAM,*,2121,2014,2900,-71.07273872,42.31114249
1302059000,FALSE,TRUE,1-3FAM,*,2125,2024,600,-71.05846765,42.31598239
1302120000,FALSE,TRUE,1-3FAM,c,2125,2013,10000,-71.05904011,42.31445783
1301615000,FALSE,FALSE,1-3FAM,c,2125,2019,3623.75,-71.05966857,42.31100905
1202089000,FALSE,TRUE,1-2FAM,*,2121,2023,12000,-71.0857373,42.31432702
1203320000,FALSE,FALSE,VacLd,*,2121,2022,8077,-71.08942094,42.31588014
2101703000,FALSE,TRUE,Multi,c,2134,2012,450,-71.13746118,42.34634968
2001581000,FALSE,TRUE,1-2FAM,c,2131,2022,27000,-71.14612667,42.28550682
1802913000,FALSE,FALSE,1-2FAM,*,2126,2017,12320,-71.0985431,42.27850676
1400765000,FALSE,TRUE,1-3FAM,*,2121,2023,4000,-71.07919066,42.30643264
1400406000,FALSE,FALSE,1-2FAM,*,2121,2015,12900,-71.07896781,42.30974708
1301418000,FALSE,TRUE,1-2FAM,*,2125,2013,500,-71.06260982,42.31470158
1805161000,FALSE,TRUE,Other,b,2131,2023,100,-71.1350983,42.2776894
2001919000,FALSE,TRUE,1-2FAM,*,2132,2022,600,-71.14354579,42.27770414
1808742000,FALSE,TRUE,1-3FAM,*,2136,2022,3600,-71.11877533,42.25547012
1802291000,FALSE,TRUE,1-2FAM,*,2126,2011,600,-71.10086656,42.27314677
1901138000,FALSE,TRUE,5unit,o,2130,2023,3600,-71.11047912,42.3115572
2007601000,FALSE,FALSE,1-2FAM,*,2132,2017,800,-71.1672159,42.29232348
1400904000,FALSE,FALSE,1-3FAM,*,2121,2013,1000,-71.08390048,42.30480023
1302005000,FALSE,TRUE,1-3FAM,c,2125,2016,18700,-71.05836375,42.3171919
1301905000,FALSE,TRUE,Other,t,2125,2017,1,-71.05926608,42.31811648
1302082000,FALSE,TRUE,1-2FAM,o,2125,2017,3250,-71.05713513,42.31486871
1900944000,FALSE,TRUE,1-2FAM,t,2130,2023,141000,-71.11337329,42.31429327
1302621000,FALSE,FALSE,1-3FAM,*,2125,2015,20400,-71.05326493,42.31199189
1200315000,FALSE,TRUE,1-3FAM,*,2119,2011,1050,-71.07997228,42.32246317
1903019000,FALSE,FALSE,1-2FAM,*,2131,2020,375,-71.12327402,42.29303685
2001951000,FALSE,FALSE,1-2FAM,*,2132,2013,2060,-71.14586012,42.27573323
1400396000,FALSE,FALSE,1-3FAM,*,2121,2022,8500,-71.07796116,42.30909284
1302133000,FALSE,FALSE,1-2FAM,*,2125,2021,14400,-71.05812723,42.31394862
1502509000,FALSE,FALSE,1-3FAM,*,2125,2018,1800,-71.05863694,42.31251592
1302008000,FALSE,TRUE,1-3FAM,*,2125,2023,21350,-71.05798729,42.31711578
2000642000,FALSE,FALSE,1-2FAM,*,2131,2017,650,-71.13957206,42.27697406
1400367021,FALSE,FALSE,Multi,c,2121,2017,950,-71.07720066,42.3085563
2010655010,FALSE,TRUE,Multi,c,2132,2023,1500,-71.17097248,42.26857161
1807630003,FALSE,TRUE,1-2FAM,*,2136,2022,6000,-71.11655025,42.26319907
2007545000,FALSE,FALSE,1-2FAM,*,2132,2016,4000,-71.1656612,42.29374424
1301810000,FALSE,TRUE,1-2FAM,*,2125,2019,500,-71.06043744,42.3151564
1301540000,FALSE,FALSE,Multi,t,2125,2013,500,-71.06095627,42.3123407
1403432000,FALSE,TRUE,1-3FAM,*,2124,2011,7997,-71.08728255,42.2820941
1703100000,FALSE,TRUE,1-2FAM,*,2124,2024,3500,-71.07219176,42.28010239
