Year,valuation,Long,Lat
2014,27000,-7917795.083,42.24954626
2014,3500,-7911880.685,42.31210084
2012,500,-7911954.1,42.30918481
2024,13600,-7918677.492,42.34662121
2016,300,-7918996.299,42.34502522
2023,12000,-7919208.904,42.34698048
2016,29000,-7916028.403,42.26248332
2014,1000,-7914748.725,42.27387585
2023,3991.6,-7914191.998,42.27184446
2023,2567,-7917197.931,42.2904253
2022,2250,-7922863.012,42.26927128
2020,8600,-7913867.567,42.31652545
2018,48500,-7912490.734,42.30694981
2019,200,-7910136.778,42.31813085
2013,8700,-7910594.324,42.31347902
2023,2000,-7910586.211,42.3121533
2022,130000,-7909922.685,42.32035567
2023,12970.77,-7909514.231,42.31486776
2021,13156,-7916708.275,42.30020604
2017,9354,-7919590.079,42.28087532
2024,3000,-7918539.551,42.29210591
2024,3699,-7921576.111,42.28968813
2021,7000,-7908534.62,42.3324005
2022,1357,-7913054.148,42.30371795
2023,12000,-7912139.172,42.31310249
2019,487.81,-7912667.42,42.30674916
2021,1900,-7910899.917,42.3167115
2019,17500,-7910383.78,42.31614169
2022,2240,-7916364.128,42.31131573
2018,2137,-7918942.732,42.34573481
2011,2000,-7919793.197,42.27748852
2022,38500,-7912150.546,42.30780363
2014,600,-7910172.414,42.31519312
2024,100,-7910216.61,42.31300336
2022,2917,-7914930.767,42.27413313
2018,7500,-7914907.214,42.27480911
2022,5080600,-7917595.254,42.25391334
2019,10000,-7910510.874,42.31963381
2017,3500,-7910676.806,42.31893841
2016,17200,-7910382.584,42.31518727
2023,10000,-7921326.934,42.35561772
2023,49500,-7915326.015,42.32631638
2016,28660,-7921003.449,42.29023643
2023,8925,-7912210.667,42.30413816
2023,10000,-7911905.134,42.30128591
2019,3000,-7909112.963,42.3330886
2023,3500,-7908397.495,42.33102175
2021,9600,-7907425.006,42.33622568
2021,8800,-7910795.405,42.29726554
2021,22980,-7915904.317,42.30831152
2011,5000,-7917854.379,42.35181323
2021,2500,-7919749.025,42.27935455
2018,11600,-7919672.563,42.27933432
2021,360000,-7912395.277,42.31303997
2021,18500,-7911045.411,42.29670808
2022,10206,-7912096.413,42.3031166
2022,2500,-7910138.784,42.31392848
2018,400,-7910274.786,42.31837211
2021,5217,-7910272.48,42.31483828
2022,2000,-7910313.826,42.31418513
2021,1500,-7913472.358,42.28528573
2020,10095,-7913370.703,42.28321851
2016,3500,-7914869.852,42.32709397
2016,10534,-7920557.084,42.29171809
2016,500,-7914866.459,42.27354946
2019,12000,-7914735.832,42.27231553
2021,6500,-7912345.875,42.35373254
2021,241500,-7911713.482,42.35601477
2020,1500,-7912484.432,42.30488672
2011,12200,-7911852.513,42.27867465
2012,495226,-7918204.932,42.35099164
2019,5185.84,-7911433.029,42.30065313
2021,6500,-7913618.759,42.3194962
2023,5000,-7918003.556,42.24683516
2022,14000,-7912710.976,42.30708512
2021,2500,-7912519.634,42.31208208
2020,812,-7919073.854,42.34786576
2023,17400,-7916891.495,42.25958813
2021,10000,-7914305.686,42.27015286
2017,17000,-7918081.762,42.28928854
2019,312000,-7913073.531,42.31472456
2023,15000,-7910664.222,42.31219236
2010,2606,-7910372.937,42.31782817
2022,30000,-7909747.981,42.3211243
2022,2548.27,-7919816.27,42.2773094
2022,9500,-7921813.663,42.2895251
2020,1000,-7921839.163,42.28863753
2012,8616,-7908519.936,42.33240086
2014,2900,-7911781.084,42.31114249
2024,600,-7910192.435,42.31598239
2018,8000,-7908106.481,42.38040977
2013,10000,-7910256.161,42.31445783
2019,3623.75,-7910326.121,42.31100905
2023,12000,-7913228.079,42.31432702
2022,8077,-7913638.14,42.31588014
2012,450,-7918985.955,42.34634968
2022,27000,-7919950.592,42.28550682
2017,12320,-7914653.613,42.27850676
2023,4000,-7912499.31,42.30643264
2015,12900,-7912474.503,42.30974708
2013,500,-7910653.54,42.31470158
