Year,valuation,Long,Lat
2014,27000,-71.12676339,42.24954626
2014,3500,-71.07363345,42.31210084
2012,500,-71.07429295,42.30918481
2024,13600,-71.13469021,42.34662121
2016,300,-71.1375541,42.34502522
2023,12000,-71.13946396,42.34698048
2016,29000,-71.11089304,42.26248332
2014,1000,-71.0993975,42.27387585
2023,3991.6,-71.09439633,42.27184446
2023,2567,-71.12139909,42.2904253
2022,2250,-71.17228938,42.26927128
2020,8600,-71.09148192,42.31652545
2018,48500,-71.07911362,42.30694981
2019,200,-71.05796767,42.31813085
2013,8700,-71.06207788,42.31347902
2023,2000,-71.06200499,42.3121533
2022,130000,-71.05604444,42.32035567
2023,12970.77,-71.05237524,42.31486776
2021,13156,-71.11700043,42.30020604
2017,9354,-71.14288812,42.28087532
2024,3000,-71.13345106,42.29210591
2024,3699,-71.16072895,42.28968813
2021,7000,-71.04357524,42.3324005
2022,1357,-71.08417486,42.30371795
2023,12000,-71.07595549,42.31310249
2019,487.81,-71.08070081,42.30674916
2021,1900,-71.06482306,42.3167115
2019,17500,-71.06018652,42.31614169
2022,2240,-71.11390891,42.31131573
2018,2137,-71.1370729,42.34573481
2011,2000,-71.14471276,42.27748852
2022,38500,-71.07605766,42.30780363
2014,600,-71.0582878,42.31519312
2024,100,-71.05868482,42.31300336
2022,2917,-71.10103281,42.27413313
2018,7500,-71.10082123,42.27480911
2022,5080600,-71.1249683,42.25391334
2019,10000,-71.06132824,42.31963381
2017,3500,-71.06281883,42.31893841
2016,17200,-71.06017578,42.31518727
2023,10000,-71.15849055,42.35561772
2023,49500,-71.10458338,42.32631638
2016,28660,-71.15558464,42.29023643
2023,8925,-71.07659774,42.30413816
2023,10000,-71.07385308,42.30128591
2019,3000,-71.04877059,42.3330886
2023,3500,-71.04234343,42.33102175
2021,9600,-71.03360741,42.33622568
2021,8800,-71.06388422,42.29726554
2021,22980,-71.10977835,42.30831152
2011,5000,-71.12729607,42.35181323
2021,2500,-71.14431595,42.27935455
2018,11600,-71.14362908,42.27933432
2021,360000,-71.07825611,42.31303997
2021,18500,-71.06613006,42.29670808
2022,10206,-71.07557137,42.3031166
2022,2500,-71.05798569,42.31392848
2018,400,-71.05920742,42.31837211
2021,5217,-71.05918671,42.31483828
2022,2000,-71.05955813,42.31418513
2021,1500,-71.0879317,42.28528573
2020,10095,-71.08701851,42.28321851
2016,3500,-71.1004856,42.32709397
2016,10534,-71.15157487,42.29171809
2016,500,-71.10045512,42.27354946
2019,12000,-71.09928168,42.27231553
2021,6500,-71.07781233,42.35373254
2021,241500,-71.07213145,42.35601477
2020,1500,-71.07905701,42.30488672
2011,12200,-71.07338039,42.27867465
2012,495226,-71.13044514,42.35099164
2019,5185.84,-71.06961209,42.30065313
2021,6500,-71.08924684,42.3194962
