Year,j_new_construction,j_renovation,j_occupancy,ownerType,j_zip,valuation,Number_ParID,j_parcel_id,Long,Lat
2014,FALSE,FALSE,1-2FAM,*,2136,27000,1809294000,1809294000,-71.12676339,42.24954626
2014,FALSE,TRUE,1-3FAM,c,2121,3500,1400155000,1400155000,-71.07363345,42.31210084
2012,FALSE,FALSE,1-3FAM,*,2121,500,1400355000,1400355000,-71.07429295,42.30918481
2016,FALSE,FALSE,1-2FAM,t,2135,300,2101659000,2101659000,-71.1375541,42.34502522
2016,FALSE,TRUE,1-2FAM,*,2136,29000,1807485000,1807485000,-71.11089304,42.26248332
2014,FALSE,TRUE,1-2FAM,*,2126,1000,1802177000,1802177000,-71.0993975,42.27387585
2022,FALSE,FALSE,Comm,c,2132,2250,2010640000,2010640000,-71.17228938,42.26927128
2020,FALSE,TRUE,1-2FAM,*,2121,8600,1203331000,1203331000,-71.09148192,42.31652545
2018,FALSE,TRUE,1-2FAM,*,2121,48500,1400713000,1400713000,-71.07911362,42.30694981
2019,FALSE,TRUE,1-3FAM,c,2125,200,1301965000,1301965000,-71.05796767,42.31813085
2013,FALSE,FALSE,1-2FAM,t,2125,8700,1301460000,1301460000,-71.06207788,42.31347902
2022,FALSE,TRUE,1-2FAM,*,2125,130000,1303253000,1303253000,-71.05604444,42.32035567
2021,FALSE,FALSE,1-2FAM,*,2130,13156,1902825000,1902825000,-71.11700043,42.30020604
2017,FALSE,FALSE,1-2FAM,*,2131,9354,2000774000,2000774000,-71.14288812,42.28087532
2022,FALSE,FALSE,1-3FAM,*,2121,1357,1400914000,1400914000,-71.08417486,42.30371795
2019,FALSE,TRUE,Multi,c,2121,487.81,1400734000,1400734000,-71.08070081,42.30674916
2021,FALSE,FALSE,VacLd,*,2125,1900,1301356000,1301356000,-71.06482306,42.3167115
2019,FALSE,TRUE,1-3FAM,*,2125,17500,1301842000,1301842000,-71.06018652,42.31614169
2022,FALSE,TRUE,Comm,c,2130,2240,1901392000,1901392000,-71.11390891,42.31131573
2018,FALSE,FALSE,1-2FAM,*,2135,2137,2101652000,2101652000,-71.1370729,42.34573481
2011,FALSE,TRUE,1-2FAM,*,2132,2000,2001892000,2001892000,-71.14471276,42.27748852
2022,FALSE,FALSE,Comm,*,2121,38500,1400367009,1400367009,-71.07605766,42.30780363
2014,FALSE,FALSE,1-3FAM,*,2125,600,1302087000,1302087000,-71.0582878,42.31519312
2022,FALSE,FALSE,1-2FAM,*,2126,2917,1802778001,1802778001,-71.10103281,42.27413313
2018,FALSE,FALSE,1-2FAM,*,2126,7500,1802766000,1802766000,-71.10082123,42.27480911
2022,TRUE,TRUE,Multi,c,2136,5080600,1809275000,1809275000,-71.1249683,42.25391334
2016,FALSE,TRUE,1-3FAM,t,2125,17200,1301807000,1301807000,-71.06017578,42.31518727
2016,FALSE,FALSE,1-2FAM,*,2132,28660,2006300000,2006300000,-71.15558464,42.29023643
2021,FALSE,FALSE,1-2FAM,*,2124,8800,1600840000,1600840000,-71.06388422,42.29726554
2021,FALSE,TRUE,1-3FAM,t,2130,22980,1901194010,1901194010,-71.10977835,42.30831152
2011,FALSE,TRUE,1-3FAM,c,2134,5000,2100763000,2100763000,-71.12729607,42.35181323
2021,FALSE,TRUE,1-2FAM,*,2132,2500,2001862000,2001862000,-71.14431595,42.27935455
2018,FALSE,TRUE,1Unit,*,2132,11600,2001866000,2001866000,-71.14362908,42.27933432
2021,FALSE,FALSE,1-2FAM,*,2121,360000,1400237000,1400237000,-71.07825611,42.31303997
2021,FALSE,FALSE,1-2FAM,*,2124,18500,1701065000,1701065000,-71.06613006,42.29670808
2022,FALSE,FALSE,VacLd,b,2121,10206,1401250000,1401250000,-71.07557137,42.3031166
2022,FALSE,FALSE,1-2FAM,*,2125,2500,1302134000,1302134000,-71.05798569,42.31392848
2018,FALSE,TRUE,1-3FAM,t,2125,400,1301903000,1301903000,-71.05920742,42.31837211
2021,FALSE,FALSE,1-3FAM,t,2125,5217,1302097000,1302097000,-71.05918671,42.31483828
2022,FALSE,FALSE,Comm,*,2125,2000,1302124000,1302124000,-71.05955813,42.31418513
2021,FALSE,FALSE,1-2FAM,*,2124,1500,1403536000,1403536000,-71.0879317,42.28528573
2020,FALSE,FALSE,1-2FAM,*,2124,10095,1403454000,1403454000,-71.08701851,42.28321851
2016,FALSE,FALSE,1-3FAM,*,2120,3500,1001333000,1001333000,-71.1004856,42.32709397
2016,FALSE,FALSE,1-2FAM,*,2132,10534,2006137000,2006137000,-71.15157487,42.29171809
2016,FALSE,FALSE,1-2FAM,*,2126,500,1802288000,1802288000,-71.10045512,42.27354946
2019,FALSE,TRUE,1-2FAM,*,2126,12000,1802243000,1802243000,-71.09928168,42.27231553
2020,FALSE,FALSE,1-2FAM,*,2121,1500,1401077000,1401077000,-71.07905701,42.30488672
2011,FALSE,FALSE,1-2FAM,*,2124,12200,1703164000,1703164000,-71.07338039,42.27867465
2012,FALSE,FALSE,Comm,*,2134,495226,2100861000,2100861000,-71.13044514,42.35099164
2019,FALSE,FALSE,1-3FAM,*,2124,5185.84,1500785000,1500785000,-71.06961209,42.30065313
2021,FALSE,TRUE,1-3FAM,*,2119,6500,1201847000,1201847000,-71.08924684,42.3194962
2022,FALSE,FALSE,Comm,b,2121,14000,1400737000,1400737000,-71.08109209,42.30708512
2021,FALSE,FALSE,Multi,c,2121,2500,1400544000,1400544000,-71.07937324,42.31208208
2020,FALSE,FALSE,Comm,*,2135,812,2101418000,2101418000,-71.13825079,42.34786576
2021,FALSE,FALSE,1-2FAM,*,2126,10000,1801082000,1801082000,-71.09541761,42.27015286
2017,FALSE,TRUE,1-2FAM,*,2131,17000,2005275000,2005275000,-71.12933868,42.28928854
2019,FALSE,TRUE,1-2FAM,t,2121,312000,1202061000,1202061000,-71.08434898,42.31472456
2010,FALSE,TRUE,1-2FAM,*,2125,2606,1301887000,1301887000,-71.06008912,42.31782817
2022,FALSE,TRUE,1-3FAM,*,2125,30000,1303316000,1303316000,-71.05447505,42.3211243
2022,FALSE,TRUE,1-2FAM,*,2132,2548.27,2001891002,2001891002,-71.14492003,42.2773094
2022,FALSE,TRUE,Multi,*,2132,9500,2007113000,2007113000,-71.16286292,42.2895251
2020,FALSE,FALSE,1-2FAM,*,2132,1000,2006701000,2006701000,-71.16309198,42.28863753
2014,FALSE,FALSE,1-3FAM,*,2121,2900,1400143000,1400143000,-71.07273872,42.31114249
2013,FALSE,TRUE,1-3FAM,c,2125,10000,1302120000,1302120000,-71.05904011,42.31445783
2019,FALSE,FALSE,1-3FAM,c,2125,3623.75,1301615000,1301615000,-71.05966857,42.31100905
2022,FALSE,FALSE,VacLd,*,2121,8077,1203320000,1203320000,-71.08942094,42.31588014
2012,FALSE,TRUE,Multi,c,2134,450,2101703000,2101703000,-71.13746118,42.34634968
2022,FALSE,TRUE,1-2FAM,c,2131,27000,2001581000,2001581000,-71.14612667,42.28550682
2017,FALSE,FALSE,1-2FAM,*,2126,12320,1802913000,1802913000,-71.0985431,42.27850676
2015,FALSE,FALSE,1-2FAM,*,2121,12900,1400406000,1400406000,-71.07896781,42.30974708
2013,FALSE,TRUE,1-2FAM,*,2125,500,1301418000,1301418000,-71.06260982,42.31470158
2022,FALSE,TRUE,1-2FAM,*,2132,600,2001919000,2001919000,-71.14354579,42.27770414
2022,FALSE,TRUE,1-3FAM,*,2136,3600,1808742000,1808742000,-71.11877533,42.25547012
2011,FALSE,TRUE,1-2FAM,*,2126,600,1802291000,1802291000,-71.10086656,42.27314677
2017,FALSE,FALSE,1-2FAM,*,2132,800,2007601000,2007601000,-71.1672159,42.29232348
2013,FALSE,FALSE,1-3FAM,*,2121,1000,1400904000,1400904000,-71.08390048,42.30480023
2016,FALSE,TRUE,1-3FAM,c,2125,18700,1302005000,1302005000,-71.05836375,42.3171919
2017,FALSE,TRUE,Other,t,2125,1,1301905000,1301905000,-71.05926608,42.31811648
2017,FALSE,TRUE,1-2FAM,o,2125,3250,1302082000,1302082000,-71.05713513,42.31486871
2015,FALSE,FALSE,1-3FAM,*,2125,20400,1302621000,1302621000,-71.05326493,42.31199189
2011,FALSE,TRUE,1-3FAM,*,2119,1050,1200315000,1200315000,-71.07997228,42.32246317
2020,FALSE,FALSE,1-2FAM,*,2131,375,1903019000,1903019000,-71.12327402,42.29303685
2013,FALSE,FALSE,1-2FAM,*,2132,2060,2001951000,2001951000,-71.14586012,42.27573323
2022,FALSE,FALSE,1-3FAM,*,2121,8500,1400396000,1400396000,-71.07796116,42.30909284
2021,FALSE,FALSE,1-2FAM,*,2125,14400,1302133000,1302133000,-71.05812723,42.31394862
2018,FALSE,FALSE,1-3FAM,*,2125,1800,1502509000,1502509000,-71.05863694,42.31251592
2017,FALSE,FALSE,1-2FAM,*,2131,650,2000642000,2000642000,-71.13957206,42.27697406
2017,FALSE,FALSE,Multi,c,2121,950,1400367021,1400367021,-71.07720066,42.3085563
2022,FALSE,TRUE,1-2FAM,*,2136,6000,1807630003,1807630003,-71.11655025,42.26319907
2016,FALSE,FALSE,1-2FAM,*,2132,4000,2007545000,2007545000,-71.1656612,42.29374424
2019,FALSE,TRUE,1-2FAM,*,2125,500,1301810000,1301810000,-71.06043744,42.3151564
2013,FALSE,FALSE,Multi,t,2125,500,1301540000,1301540000,-71.06095627,42.3123407
2011,FALSE,TRUE,1-3FAM,*,2124,7997,1403432000,1403432000,-71.08728255,42.2820941
2022,FALSE,FALSE,1-2FAM,t,2124,26750,1703023000,1703023000,-71.07257753,42.2807434
2018,FALSE,FALSE,1-2FAM,*,2125,21926,1301470000,1301470000,-71.06060945,42.3129224
2012,FALSE,FALSE,7More,c,2134,2500,2101061000,2101061000,-71.13712594,42.34877172
2019,FALSE,TRUE,1Unit,t,2134,6500,2100962030,2100962030,-71.13396749,42.3509736
2016,FALSE,FALSE,Comm,*,2136,500,1812663020,1812663020,-71.13291182,42.24350414
2021,FALSE,FALSE,Multi,*,2131,2000,2004228000,2004228000,-71.14753954,42.29282384
2018,FALSE,TRUE,1-3FAM,*,2125,1000,1301505000,1301505000,-71.0604763,42.31358932
2019,FALSE,FALSE,1-3FAM,*,2125,600,1301611000,1301611000,-71.06021821,42.31094025
2022,FALSE,FALSE,1-2FAM,*,2124,9887.04,1704214000,1704214000,-71.0685965,42.27868903
2016,FALSE,TRUE,1-2FAM,*,2121,4000,1401248000,1401248000,-71.07589331,42.30325782
2022,FALSE,TRUE,1-2FAM,t,2125,500,1302121000,1302121000,-71.05917721,42.31448145
2020,FALSE,TRUE,1-2FAM,*,2131,3200,2004268000,2004268000,-71.14430198,42.29086688
2022,FALSE,TRUE,7More,c,2121,195,1400217000,1400217000,-71.07574929,42.31210826
2018,FALSE,FALSE,1-3FAM,*,2131,43900,1903207000,1903207000,-71.12174785,42.28770208
2020,FALSE,FALSE,Other,*,2131,1500,2005274000,2005274000,-71.12920165,42.28917581
2022,FALSE,TRUE,1-3FAM,c,2125,22750,1301558000,1301558000,-71.05929669,42.31237738
2011,FALSE,FALSE,1Unit,t,2130,863.2,1103493000,1103493000,-71.11806382,42.30613851
2021,FALSE,TRUE,Other,b,2130,500,1901289000,1901289000,-71.11504354,42.308863
2022,FALSE,FALSE,1-2FAM,*,2126,2000,1800499000,1800499000,-71.08170085,42.27951185
2020,FALSE,TRUE,1-2FAM,*,2131,500,1903148000,1903148000,-71.1250539,42.28681486
2016,FALSE,TRUE,Mixed,*,2115,22500,1001393000,1001393000,-71.11157153,42.33198314
2016,FALSE,TRUE,1-2FAM,*,2124,17800,1702270000,1702270000,-71.07069677,42.29790132
2015,FALSE,FALSE,1-3FAM,*,2124,13500,1600797000,1600797000,-71.06420439,42.29781929
2022,FALSE,FALSE,1-2FAM,c,2132,500,2005937000,2005937000,-71.15200982,42.28962609
2018,FALSE,FALSE,1-2FAM,*,2131,846,2004405000,2004405000,-71.14487902,42.29216355
2020,FALSE,FALSE,1-2FAM,*,2131,3000,1903516030,1903516030,-71.11851524,42.29462444
2017,FALSE,FALSE,1-3FAM,c,2125,2638,1301673000,1301673000,-71.06232502,42.3119313
2017,FALSE,TRUE,1-2FAM,*,2125,3404.99,1502143000,1502143000,-71.0700163,42.30719132
2016,FALSE,FALSE,1-3FAM,*,2125,1200,1301646000,1301646000,-71.06404389,42.31345138
2011,FALSE,TRUE,1-2FAM,*,2125,6907.6,1301896000,1301896000,-71.05968851,42.31809594
2016,TRUE,FALSE,VacLd,c,2121,953000,1203313000,1203313000,-71.08957174,42.31621493
2020,FALSE,FALSE,1-2FAM,*,2121,1300,1400263000,1400263000,-71.07799738,42.31189448
