parcel_id,latitude,longitude,yearbuilt,usage,proptype,style,FULL_ADDRESS,STREET_NUMBER,FULL_STREET_NAME,MAILING_NEIGHBORHOOD,STREET_BODY,ZIP_CODE,Year,SalePrice
100014000,42.37983,-71.031586,1900,3-FAM RES,R3F,DECKER,225 Lexington St,225,Lexington St,East Boston,Lexington,2128,2002,440000
100032000,42.379649,-71.030537,1900,2-FAM RES,R2F,CONVENTIONAL,248 Princeton St,248,Princeton St,East Boston,Princeton,2128,2015,450000
100043000,42.379209,-71.031697,1899,3-FAM RES,R3F,SEMI DETACHD,218 Princeton St,218,Princeton St,East Boston,Princeton,2128,2003,425000
100051000,42.378936,-71.032414,1900,4-8 UNIT APT,APT,CONDO/APT,198-200 Princeton St,198-200,Princeton St,East Boston,Princeton,2128,2016,675000
100052000,42.37917,-71.032569,1900,1-FAM RES,R1F,COLONIAL,112 Putnam St,112,Putnam St,East Boston,Putnam,2128,2018,595000
100053000,42.379211,-71.032461,1900,1-FAM RES,R1F,COLONIAL,110 Putnam St,110,Putnam St,East Boston,Putnam,2128,2022,761000
100057000,42.378469,-71.02929,1920,3-FAM RES,R3F,SEMI DETACHD,74 Prescott St,74,Prescott St,East Boston,Prescott,2128,2006,200000
100066000,42.379142,-71.029313,1910,3-FAM RES,R3F,DECKER,413 Saratoga St,413,Saratoga St,East Boston,Saratoga,2128,2002,450000
100075000,42.379522,-71.028282,1910,3-FAM RES,R3F,DECKER,445 Saratoga St,445,Saratoga St,East Boston,Saratoga,2128,2002,430000
100075000,42.379522,-71.028282,1910,3-FAM RES,R3F,DECKER,445 Saratoga St,445,Saratoga St,East Boston,Saratoga,2128,2004,530000
100096000,42.379131,-71.029875,1900,3-FAM RES,R3F,RAISED CAPE,402 Saratoga St,402,Saratoga St,East Boston,Saratoga,2128,2014,565000
100097000,42.379363,-71.029896,1910,3-FAM RES,R3F,DECKER,50 Prescott St,50,Prescott St,East Boston,Prescott,2128,2008,290000
100110000,42.380138,-71.028711,1905,1-FAM RES,R1F,ROW-END,301 Princeton St,301,Princeton St,East Boston,Princeton,2128,2005,388682
100112000,42.380189,-71.028578,1905,3-FAM RES,R3F,ROW-END,305 Princeton St,305,Princeton St,East Boston,Princeton,2128,2014,460000
100112000,42.380189,-71.028578,1905,3-FAM RES,R3F,ROW-END,305 Princeton St,305,Princeton St,East Boston,Princeton,2128,2015,670000
100138000,42.379434,-71.028809,1905,2-FAM RES,R2F,CONVENTIONAL,426 Saratoga St,426,Saratoga St,East Boston,Saratoga,2128,2016,515000
100148000,42.379154,-71.029816,1900,3-FAM RES,R3F,ROW-MIDDLE,404 Saratoga St,404,Saratoga St,East Boston,Saratoga,2128,2002,310000
100154000,42.380407,-71.030041,1910,CONDOMINIUM,RCD,ROW-MIDDLE,267 Lexington St,267,Lexington St,East Boston,Lexington,2128,2014,224300
100154000,42.380407,-71.030041,1910,CONDOMINIUM,RCD,ROW-MIDDLE,267 Lexington St,267,Lexington St,East Boston,Lexington,2128,2021,385000
100157000,42.380498,-71.029803,1890,3-FAM RES,R3F,DECKER,273 Lexington St,273,Lexington St,East Boston,Lexington,2128,2010,285000
100167000,42.38083,-71.028934,1900,3-FAM RES,R3F,DECKER,295 Lexington St,295,Lexington St,East Boston,Lexington,2128,2002,439000
100168000,42.380861,-71.028855,1900,3-FAM RES,R3F,DECKER,297 Lexington St,297,Lexington St,East Boston,Lexington,2128,2010,270000
100169000,42.380891,-71.028776,1900,3-FAM RES,R3F,DECKER,299 Lexington St,299,Lexington St,East Boston,Lexington,2128,2012,409000
100174000,42.381042,-71.02838,1900,3-FAM RES,R3F,DECKER,309 Lexington St,309,Lexington St,East Boston,Lexington,2128,2015,665000
100187000,42.380324,-71.028755,1900,1-FAM RES,R1F,ROW-END,300 Princeton St,300,Princeton St,East Boston,Princeton,2128,2014,285000
100188000,42.380299,-71.028822,1900,1-FAM RES,R1F,ROW-MIDDLE,298 Princeton St,298,Princeton St,East Boston,Princeton,2128,2014,291000
100189000,42.380273,-71.028888,1900,1-FAM RES,R1F,ROW-END,296 Princeton St,296,Princeton St,East Boston,Princeton,2128,2015,363000
100207000,42.380833,-71.030966,1900,3-FAM RES,R3F,DECKER,219 Trenton St,219,Trenton St,East Boston,Trenton,2128,2011,350000
100211000,42.380874,-71.030856,2004,ACC LAND IMP,REO,TWO FAMILY,229 Trenton St,229,Trenton St,East Boston,Trenton,2128,2004,160000
100211000,42.380874,-71.030856,2004,ACC LAND IMP,REO,TWO FAMILY,229 Trenton St,229,Trenton St,East Boston,Trenton,2128,2006,475000
100234000,42.381072,-71.028832,1900,1-FAM RES,R1F,ROW-MIDDLE,300 Lexington St,300,Lexington St,East Boston,Lexington,2128,2010,193000
100254000,42.380391,-71.030621,1910,3-FAM RES,R3F,SEMI DETACHD,258 Lexington St,258,Lexington St,East Boston,Lexington,2128,2019,1050000
100255000,42.381374,-71.028101,1890,3-FAM RES,R3F,DECKER,2-4 Shelby St,45326,Shelby St,East Boston,Shelby,2128,2008,165000
100255000,42.381374,-71.028101,1890,3-FAM RES,R3F,DECKER,2-4 Shelby St,45326,Shelby St,East Boston,Shelby,2128,2010,260000
100268000,42.380886,-71.027232,1890,3-FAM RES,R3F,SEMI DETACHD,362 Princeton St,362,Princeton St,East Boston,Princeton,2128,2013,277000
100268000,42.380886,-71.027232,1890,3-FAM RES,R3F,SEMI DETACHD,362 Princeton St,362,Princeton St,East Boston,Princeton,2128,2014,409900
100279000,42.381048,-71.027896,1899,3-FAM RES,R3F,CONDO/APT,10 Shelby St,10,Shelby St,East Boston,Shelby,2128,2008,234000
100305000,42.380552,-71.027586,1900,4-8 UNIT APT,APT,CONDO/APT,32 Shelby St,32,Shelby St,East Boston,Shelby,2128,2005,540000
100305000,42.380552,-71.027586,1900,4-8 UNIT APT,APT,CONDO/APT,32 Shelby St,32,Shelby St,East Boston,Shelby,2128,2016,980000
100382000,42.380492,-71.021649,1900,1-FAM RES,R1F,CONVENTIONAL,1 Swift Ter,1,Swift Ter,East Boston,Swift,2128,2013,280000
100442000,42.380842,-71.025267,1890,1-FAM RES,R1F,COLONIAL,546 Saratoga St,546,Saratoga St,East Boston,Saratoga,2128,2001,175000
100443000,42.380819,-71.025324,1900,3-FAM RES,R3F,DECKER,544 Saratoga St,544,Saratoga St,East Boston,Saratoga,2128,2008,326000
100446000,42.380753,-71.025496,1900,2-FAM RES,R2F,CONVENTIONAL,538 Saratoga St,538,Saratoga St,East Boston,Saratoga,2128,2002,325000
100451000,42.380554,-71.026012,1905,3-FAM RES,R3F,ROW-MIDDLE,520 Saratoga St,520,Saratoga St,East Boston,Saratoga,2128,2017,719000
100536000,42.386212,-71.010897,1960,CONDOMINIUM,RCD,TOWNHOUSE,910 Saratoga St,910,Saratoga St,East Boston,Saratoga,2128,2018,297102
100545000,42.38522,-71.01355,1921,2-FAM RES,R2F,TWO FAMILY,852 Saratoga St,852,Saratoga St,East Boston,Saratoga,2128,2012,201000
100546000,42.385194,-71.01362,1910,2-FAM RES,R2F,TWO FAMILY,850 Saratoga St,850,Saratoga St,East Boston,Saratoga,2128,2007,430000
100556000,42.384634,-71.015137,1916,1-FAM RES,R1F,COLONIAL,810 Saratoga St,810,Saratoga St,East Boston,Saratoga,2128,2009,115000
100620000,42.384237,-71.016192,1910,3-FAM RES,R3F,DECKER,784 Saratoga St,784,Saratoga St,East Boston,Saratoga,2128,2001,384900
100748000,42.382501,-71.020825,1925,4-8 UNIT APT,APT,CONDO/APT,662-664 Saratoga St,662-664,Saratoga St,East Boston,Saratoga,2128,2014,150000
100773000,42.382171,-71.02173,1890,2-FAM RES,R2F,TWO FAMILY,626-628 Saratoga St,626-628,Saratoga St,East Boston,Saratoga,2128,2005,345000
100779000,42.381937,-71.02237,1890,1-FAM RES,R1F,COLONIAL,602-604 Saratoga St,602-604,Saratoga St,East Boston,Saratoga,2128,2021,1494500
100871000,42.381776,-71.018675,1910,1-FAM RES,R1F,CONVENTIONAL,34 Horace St,34,Horace St,East Boston,Horace,2128,2008,256000
100871000,42.381776,-71.018675,1910,1-FAM RES,R1F,CONVENTIONAL,34 Horace St,34,Horace St,East Boston,Horace,2128,2009,265000
100871000,42.381776,-71.018675,1910,1-FAM RES,R1F,CONVENTIONAL,34 Horace St,34,Horace St,East Boston,Horace,2128,2019,540000
100909000,42.382261,-71.017354,1910,2-FAM RES,R2F,CONVENTIONAL,64 Horace St,64,Horace St,East Boston,Horace,2128,2017,559000
100938000,42.383933,-71.016457,1910,3-FAM RES,R3F,DECKER,789 Saratoga St,789,Saratoga St,East Boston,Saratoga,2128,2010,295000
101017000,42.38457,-71.014764,1900,3-FAM RES,R3F,DECKER,825 Saratoga St,825,Saratoga St,East Boston,Saratoga,2128,2009,365000
101030000,42.385146,-71.013208,1900,3-FAM RES,R3F,DECKER,857 Saratoga St,857,Saratoga St,East Boston,Saratoga,2128,2013,330000
101051000,42.38527,-71.012874,1918,1-FAM RES,R1F,CONVENTIONAL,865 Saratoga St,865,Saratoga St,East Boston,Saratoga,2128,2005,306000
101051000,42.38527,-71.012874,1918,1-FAM RES,R1F,CONVENTIONAL,865 Saratoga St,865,Saratoga St,East Boston,Saratoga,2128,2006,370000
101060000,42.385717,-71.011682,1900,4-8 UNIT APT,APT,CONDO/APT,889 Saratoga St,889,Saratoga St,East Boston,Saratoga,2128,2004,585000
101064000,42.386014,-71.010887,1900,3-FAM RES,R3F,DECKER,905 Saratoga St,905,Saratoga St,East Boston,Saratoga,2128,2014,520000
101144000,42.381978,-71.017847,1900,2-FAM RES,R2F,TWO FAMILY,91 Moore St,91,Moore St,East Boston,Moore,2128,2005,389000
101147000,42.382215,-71.017203,1900,1-FAM RES,R1F,CAPE COD,59 Horace St,59,Horace St,East Boston,Horace,2128,2017,390000
101183000,42.381529,-71.016758,1910,3-FAM RES,R3F,DECKER,69 Homer St,69,Homer St,East Boston,Homer,2128,2019,1147400
101186000,42.381553,-71.016693,1910,2-FAM RES,R2F,CONVENTIONAL,75 Homer St,75,Homer St,East Boston,Homer,2128,2013,308500
101219000,42.384043,-71.001668,1910,3-FAM RES,R3F,CONVENTIONAL,77 Saint Andrew Rd,77,Saint Andrew Rd,East Boston,Saint Andrew,2128,2017,1005000
101219000,42.384043,-71.001668,1910,3-FAM RES,R3F,CONVENTIONAL,77 Saint Andrew Rd,77,Saint Andrew Rd,East Boston,Saint Andrew,2128,2019,1287500
101220000,42.384341,-71.002219,1912,3-FAM RES,R3F,CONVENTIONAL,81 Saint Andrew Rd,81,Saint Andrew Rd,East Boston,Saint Andrew,2128,2002,420000
101221000,42.383912,-71.001305,1915,2-FAM RES,R2F,CONVENTIONAL,83-85 Saint Andrew Rd,83-85,Saint Andrew Rd,East Boston,Saint Andrew,2128,2006,590000
101241000,42.385799,-71.0046,1915,3-FAM RES,R3F,DECKER,1059 Saratoga St,1059,Saratoga St,East Boston,Saratoga,2128,2015,575000
101307000,42.384977,-71.00205,1920,2-FAM RES,R2F,TWO FAMILY,1124 Saratoga St,1124,Saratoga St,East Boston,Saratoga,2128,2006,549900
101360000,42.384988,-71.0018,1960,REST/BAR,COM,,1144 Saratoga St,1144,Saratoga St,East Boston,Saratoga,2128,2004,500000
101399100,42.389459,-70.996347,1982,CONDOMINIUM,RCD,LOW-RISE,18 Leverett Ave,18,Leverett Ave,East Boston,Leverett,2128,2002,180000
101399100,42.389459,-70.996347,1982,CONDOMINIUM,RCD,LOW-RISE,18 Leverett Ave,18,Leverett Ave,East Boston,Leverett,2128,2004,233400
101399100,42.389459,-70.996347,1982,CONDOMINIUM,RCD,LOW-RISE,18 Leverett Ave,18,Leverett Ave,East Boston,Leverett,2128,2005,255000
101399100,42.389459,-70.996347,1982,CONDOMINIUM,RCD,LOW-RISE,18 Leverett Ave,18,Leverett Ave,East Boston,Leverett,2128,2020,435000
101433000,42.385419,-71.006059,1895,1-FAM RES,R1F,COLONIAL,20 Thurston St,20,Thurston St,East Boston,Thurston,2128,2004,475000
101466000,42.383321,-70.999446,1915,2-FAM RES,R2F,CONVENTIONAL,123 Saint Andrew Rd,123,Saint Andrew Rd,East Boston,Saint Andrew,2128,2021,925000
101496000,42.383386,-70.997968,1915,2-FAM RES,R2F,TWO FAMILY,1197-1199 Saratoga St,1197-1199,Saratoga St,East Boston,Saratoga,2128,2006,470000
101550000,42.38857,-70.997388,1960,1-FAM RES,R1F,COLONIAL,27 Swan Ave,27,Swan Ave,East Boston,Swan,2128,2007,432500
101697000,42.388474,-71.003249,1910,1-FAM RES,R1F,COLONIAL,223 Leyden St,223,Leyden St,East Boston,Leyden,2128,2005,335000
101698000,42.388474,-71.003174,1916,3-FAM RES,R3F,CONVENTIONAL,225 Leyden St,225,Leyden St,East Boston,Leyden,2128,2010,350000
101705000,42.388472,-71.002198,1912,RETAIL STORE,COM,,251 Leyden St,251,Leyden St,East Boston,Leyden,2128,2016,320000
101794010,42.390106,-71.010803,2006,1-FAM RES,R1F,ROW-END,47 Leyden St,47,Leyden St,East Boston,Leyden,2128,2002,270000
101798000,42.390526,-71.011799,1910,1-FAM RES,R1F,COLONIAL,23 Leyden St,23,Leyden St,East Boston,Leyden,2128,2004,220000
101799000,42.390421,-71.011549,1875,3-FAM RES,R3F,CONVENTIONAL,29 Leyden St,29,Leyden St,East Boston,Leyden,2128,2007,490000
101807000,42.390105,-71.010558,1917,2-FAM RES,R2F,CONVENTIONAL,67 Leyden St,67,Leyden St,East Boston,Leyden,2128,2005,555000
101824000,42.38889,-71.006821,1910,3-FAM RES,R3F,CONVENTIONAL,137 Leyden St,137,Leyden St,East Boston,Leyden,2128,2021,780000
101851000,42.388651,-71.001295,1900,2-FAM RES,R2F,TWO FAMILY,256 Leyden St,256,Leyden St,East Boston,Leyden,2128,2013,375000
101863000,42.388677,-71.003602,1985,CONDOMINIUM,RCD,DUPLEX,204 Leyden St,204,Leyden St,East Boston,Leyden,2128,2016,345000
101865000,42.388701,-71.003803,1890,1-FAM RES,R1F,COLONIAL,198 Leyden St,198,Leyden St,East Boston,Leyden,2128,2008,179900
101888000,42.38886,-71.005107,1900,1-FAM RES,R1F,COLONIAL,172 Leyden St,172,Leyden St,East Boston,Leyden,2128,2004,280000
101930000,42.389928,-71.000162,1927,2-FAM RES,R2F,TWO FAMILY,28 Orient Ave,28,Orient Ave,East Boston,Orient,2128,2016,158325
102013000,42.390768,-71.008002,1955,1-FAM RES,R1F,RANCH,194 Orient Ave,194,Orient Ave,East Boston,Orient,2128,2013,400000
102040000,42.390179,-71.010488,1982,CONDOMINIUM,RCD,TOWNHOUSE,52 Leyden St,52,Leyden St,East Boston,Leyden,2128,2002,234000
102082000,42.391401,-71.008056,1940,1-FAM RES,R1F,COLONIAL,51 Montmorenci Ave,51,Montmorenci Ave,East Boston,Montmorenci,2128,2021,1120000
102195000,42.392734,-71.006005,1950,1-FAM RES,R1F,CONVENTIONAL,150 Waldemar Ave,150,Waldemar Ave,East Boston,Waldemar,2128,2014,416000
102195000,42.392734,-71.006005,1950,1-FAM RES,R1F,CONVENTIONAL,150 Waldemar Ave,150,Waldemar Ave,East Boston,Waldemar,2128,2015,485000
102208000,42.392143,-71.003073,1952,1-FAM RES,R1F,RANCH,108 Waldemar Ave,108,Waldemar Ave,East Boston,Waldemar,2128,2021,717000
102226000,42.391034,-71.000637,2001,1-FAM RES,R1F,RANCH,44 Waldemar Ave,44,Waldemar Ave,East Boston,Waldemar,2128,2021,689000
102226000,42.391034,-71.000637,2001,1-FAM RES,R1F,RANCH,44 Waldemar Ave,44,Waldemar Ave,East Boston,Waldemar,2128,2022,717000
102232000,42.391405,-71.001218,1900,1-FAM RES,R1F,COLONIAL,20 Waldemar Ave,20,Waldemar Ave,East Boston,Waldemar,2128,2013,290000
102238000,42.389866,-70.999387,1910,3-FAM RES,R3F,DECKER,5 Orient Ave,5,Orient Ave,East Boston,Orient,2128,2008,400000
102278000,42.39034,-70.999186,1950,4-8 UNIT APT,APT,CONDO/APT,5 Waldemar Ave,5,Waldemar Ave,East Boston,Waldemar,2128,2017,1650000
102351000,42.391581,-71.007866,1950,1-FAM RES,R1F,CAPE COD,56 Montmorenci Ave,56,Montmorenci Ave,East Boston,Montmorenci,2128,2012,315000
102357020,42.39157,-71.009077,1940,1-FAM RES,R1F,COLONIAL,24 Montmorenci Ave,24,Montmorenci Ave,East Boston,Montmorenci,2128,2010,371500
102357020,42.39157,-71.009077,1940,1-FAM RES,R1F,COLONIAL,24 Montmorenci Ave,24,Montmorenci Ave,East Boston,Montmorenci,2128,2011,425000
102357020,42.39157,-71.009077,1940,1-FAM RES,R1F,COLONIAL,24 Montmorenci Ave,24,Montmorenci Ave,East Boston,Montmorenci,2128,2014,437500
102504000,42.39145,-71.001083,1970,CONDOMINIUM,RCD,LOW-RISE,75 Waldemar Ave,75,Waldemar Ave,East Boston,Waldemar,2128,2008,201000
102504000,42.39145,-71.001083,1970,CONDOMINIUM,RCD,LOW-RISE,75 Waldemar Ave,75,Waldemar Ave,East Boston,Waldemar,2128,2016,208000
102504000,42.39145,-71.001083,1970,CONDOMINIUM,RCD,LOW-RISE,75 Waldemar Ave,75,Waldemar Ave,East Boston,Waldemar,2128,2018,289000
102530000,42.376861,-71.039043,1930,3-FAM RES,R3F,ROW-MIDDLE,293-293A Meridian St,293-293A,Meridian St,East Boston,Meridian,2128,2005,421000
102549000,42.377562,-71.03767,1900,3-FAM RES,R3F,ROW-END,45 Lexington St,45,Lexington St,East Boston,Lexington,2128,2002,335000
102549000,42.377562,-71.03767,1900,3-FAM RES,R3F,ROW-END,45 Lexington St,45,Lexington St,East Boston,Lexington,2128,2004,403000
102552000,42.377662,-71.037399,1900,3-FAM RES,R3F,ROW-MIDDLE,51 Lexington St,51,Lexington St,East Boston,Lexington,2128,2021,730000
102566000,42.377667,-71.037384,1900,3-FAM RES,R3F,CONVENTIONAL,71-73 Lexington St,71-73,Lexington St,East Boston,Lexington,2128,2005,495000
102581000,42.37684,-71.038072,1899,3-FAM RES,R3F,SEMI DETACHD,36 Princeton St,36,Princeton St,East Boston,Princeton,2128,2006,550000
102583000,42.376677,-71.038525,1900,3-FAM RES,R3F,DECKER,32 Princeton St,32,Princeton St,East Boston,Princeton,2128,2007,370000
102587000,42.377327,-71.036715,1900,3-FAM RES,R3F,SEMI DETACHD,24 Princeton St,24,Princeton St,East Boston,Princeton,2128,2002,410000
102590000,42.376433,-71.039203,1900,3-FAM RES,R3F,ROW-MIDDLE,14 Princeton St,14,Princeton St,East Boston,Princeton,2128,2007,323000
102598000,42.377522,-71.039061,1899,MXU RES+COM,REO,RAISED CAPE,317 Meridian St,317,Meridian St,East Boston,Meridian,2128,2016,1050000
102599000,42.37759,-71.039062,1930,MXU RES+COM,REO,RAISED CAPE,319 Meridian St,319,Meridian St,East Boston,Meridian,2128,2013,260000
102600010,42.377486,-71.039181,1900,CONDOMINIUM,RCD,ROW-END,321-325 Meridian St,321-325,Meridian St,East Boston,Meridian,2128,2004,116000
102613000,42.377829,-71.037491,1850,3-FAM RES,R3F,ROW-MIDDLE,72 Lexington St,72,Lexington St,East Boston,Lexington,2128,2010,287000
102623000,42.377411,-71.038631,1875,2-FAM RES,R2F,ROW-MIDDLE,30 Lexington St,30,Lexington St,East Boston,Lexington,2128,2002,250000
102624000,42.377375,-71.03873,1875,2-FAM RES,R2F,SEMI DETACHD,28 Lexington St,28,Lexington St,East Boston,Lexington,2128,2007,310000
102632000,42.378278,-71.03908,1890,3-FAM RES,R3F,ROW-MIDDLE,343-345 Meridian St,343-345,Meridian St,East Boston,Meridian,2128,2009,200000
102652000,42.378628,-71.037752,1880,3-FAM RES,R3F,ROW-MIDDLE,65 Marion St,65,Marion St,East Boston,Marion,2128,2004,454000
102677000,42.379507,-71.038843,1900,3-FAM RES,R3F,SEMI DETACHD,5 Monmouth St,5,Monmouth St,East Boston,Monmouth,2128,2021,757000
102681000,42.379507,-71.038843,1900,3-FAM RES,R3F,SEMI DETACHD,13 Monmouth St,13,Monmouth St,East Boston,Monmouth,2128,2021,742500
102684010,42.37938,-71.038277,1984,1-FAM RES,R1F,ROW-MIDDLE,39 Marion St,39,Marion St,East Boston,Marion,2128,2004,189000
102684030,42.379313,-71.03823,1984,1-FAM RES,R1F,ROW-END,43 Marion St,43,Marion St,East Boston,Marion,2128,2016,371000
102689000,42.379424,-71.038204,1880,1-FAM RES,R1F,SEMI DETACHD,5 Marion Pl,5,Marion Pl,East Boston,Marion,2128,2002,180000
102703000,42.379978,-71.03924,1920,CONDOMINIUM,RCD,ROW-END,379 Meridian St,379,Meridian St,East Boston,Meridian,2128,2006,148000
102703000,42.379978,-71.03924,1920,CONDOMINIUM,RCD,ROW-END,379 Meridian St,379,Meridian St,East Boston,Meridian,2128,2011,61550
