parcel_id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Lat,Long,yearbuilt,usage,proptype,style,FULL_ADDRESS,STREET_NUMBER,FULL_STREET_NAME,MAILING_NEIGHBORHOOD,STREET_BODY,ZIP_CODE
100014000,,,440000,,,,,,,,,,,,,,,,,,,,,42.37983,-71.031586,1900,3-FAM RES,R3F,DECKER,225 Lexington St,225,Lexington St,East Boston,Lexington,2128
100032000,,,,,,,,,,,,,,,,450000,,,,,,,,42.379649,-71.030537,1900,2-FAM RES,R2F,CONVENTIONAL,248 Princeton St,248,Princeton St,East Boston,Princeton,2128
100043000,,,,425000,,,,,,,,,,,,,,,,,,,,42.379209,-71.031697,1899,3-FAM RES,R3F,SEMI DETACHD,218 Princeton St,218,Princeton St,East Boston,Princeton,2128
100051000,,,,,,,,,,,,,,,,,675000,,,,,,,42.378936,-71.032414,1900,4-8 UNIT APT,APT,CONDO/APT,198-200 Princeton St,198-200,Princeton St,East Boston,Princeton,2128
100052000,,,,,,,,,,,,,,,,,,,595000,,,,,42.37917,-71.032569,1900,1-FAM RES,R1F,COLONIAL,112 Putnam St,112,Putnam St,East Boston,Putnam,2128
100053000,,,,,,,,,,,,,,,,,,,,,,,761000,42.379211,-71.032461,1900,1-FAM RES,R1F,COLONIAL,110 Putnam St,110,Putnam St,East Boston,Putnam,2128
100057000,,,,,,,200000,,,,,,,,,,,,,,,,,42.378469,-71.02929,1920,3-FAM RES,R3F,SEMI DETACHD,74 Prescott St,74,Prescott St,East Boston,Prescott,2128
100066000,,,450000,,,,,,,,,,,,,,,,,,,,,42.379142,-71.029313,1910,3-FAM RES,R3F,DECKER,413 Saratoga St,413,Saratoga St,East Boston,Saratoga,2128
100075000,,,430000,,530000,,,,,,,,,,,,,,,,,,,42.379522,-71.028282,1910,3-FAM RES,R3F,DECKER,445 Saratoga St,445,Saratoga St,East Boston,Saratoga,2128
100096000,,,,,,,,,,,,,,,565000,,,,,,,,,42.379131,-71.029875,1900,3-FAM RES,R3F,RAISED CAPE,402 Saratoga St,402,Saratoga St,East Boston,Saratoga,2128
100097000,,,,,,,,,290000,,,,,,,,,,,,,,,42.379363,-71.029896,1910,3-FAM RES,R3F,DECKER,50 Prescott St,50,Prescott St,East Boston,Prescott,2128
100110000,,,,,,388682,,,,,,,,,,,,,,,,,,42.380138,-71.028711,1905,1-FAM RES,R1F,ROW-END,301 Princeton St,301,Princeton St,East Boston,Princeton,2128
100112000,,,,,,,,,,,,,,,460000,670000,,,,,,,,42.380189,-71.028578,1905,3-FAM RES,R3F,ROW-END,305 Princeton St,305,Princeton St,East Boston,Princeton,2128
100138000,,,,,,,,,,,,,,,,,515000,,,,,,,42.379434,-71.028809,1905,2-FAM RES,R2F,CONVENTIONAL,426 Saratoga St,426,Saratoga St,East Boston,Saratoga,2128
100148000,,,310000,,,,,,,,,,,,,,,,,,,,,42.379154,-71.029816,1900,3-FAM RES,R3F,ROW-MIDDLE,404 Saratoga St,404,Saratoga St,East Boston,Saratoga,2128
100154000,,,,,,,,,,,,,,,224300,,,,,,,385000,,42.380407,-71.030041,1910,CONDOMINIUM,RCD,ROW-MIDDLE,267 Lexington St,267,Lexington St,East Boston,Lexington,2128
100157000,,,,,,,,,,,285000,,,,,,,,,,,,,42.380498,-71.029803,1890,3-FAM RES,R3F,DECKER,273 Lexington St,273,Lexington St,East Boston,Lexington,2128
100167000,,,439000,,,,,,,,,,,,,,,,,,,,,42.38083,-71.028934,1900,3-FAM RES,R3F,DECKER,295 Lexington St,295,Lexington St,East Boston,Lexington,2128
100168000,,,,,,,,,,,270000,,,,,,,,,,,,,42.380861,-71.028855,1900,3-FAM RES,R3F,DECKER,297 Lexington St,297,Lexington St,East Boston,Lexington,2128
100169000,,,,,,,,,,,,,409000,,,,,,,,,,,42.380891,-71.028776,1900,3-FAM RES,R3F,DECKER,299 Lexington St,299,Lexington St,East Boston,Lexington,2128
100174000,,,,,,,,,,,,,,,,665000,,,,,,,,42.381042,-71.02838,1900,3-FAM RES,R3F,DECKER,309 Lexington St,309,Lexington St,East Boston,Lexington,2128
100187000,,,,,,,,,,,,,,,285000,,,,,,,,,42.380324,-71.028755,1900,1-FAM RES,R1F,ROW-END,300 Princeton St,300,Princeton St,East Boston,Princeton,2128
100188000,,,,,,,,,,,,,,,291000,,,,,,,,,42.380299,-71.028822,1900,1-FAM RES,R1F,ROW-MIDDLE,298 Princeton St,298,Princeton St,East Boston,Princeton,2128
100189000,,,,,,,,,,,,,,,,363000,,,,,,,,42.380273,-71.028888,1900,1-FAM RES,R1F,ROW-END,296 Princeton St,296,Princeton St,East Boston,Princeton,2128
100207000,,,,,,,,,,,,350000,,,,,,,,,,,,42.380833,-71.030966,1900,3-FAM RES,R3F,DECKER,219 Trenton St,219,Trenton St,East Boston,Trenton,2128
100211000,,,,,160000,,475000,,,,,,,,,,,,,,,,,42.380874,-71.030856,2004,ACC LAND IMP,REO,TWO FAMILY,229 Trenton St,229,Trenton St,East Boston,Trenton,2128
100234000,,,,,,,,,,,193000,,,,,,,,,,,,,42.381072,-71.028832,1900,1-FAM RES,R1F,ROW-MIDDLE,300 Lexington St,300,Lexington St,East Boston,Lexington,2128
100254000,,,,,,,,,,,,,,,,,,,,1050000,,,,42.380391,-71.030621,1910,3-FAM RES,R3F,SEMI DETACHD,258 Lexington St,258,Lexington St,East Boston,Lexington,2128
100255000,,,,,,,,,165000,,260000,,,,,,,,,,,,,42.381374,-71.028101,1890,3-FAM RES,R3F,DECKER,2-4 Shelby St,04-Feb,Shelby St,East Boston,Shelby,2128
100268000,,,,,,,,,,,,,,277000,409900,,,,,,,,,42.380886,-71.027232,1890,3-FAM RES,R3F,SEMI DETACHD,362 Princeton St,362,Princeton St,East Boston,Princeton,2128
100279000,,,,,,,,,234000,,,,,,,,,,,,,,,42.381048,-71.027896,1899,3-FAM RES,R3F,CONDO/APT,10 Shelby St,10,Shelby St,East Boston,Shelby,2128
100305000,,,,,,540000,,,,,,,,,,,980000,,,,,,,42.380552,-71.027586,1900,4-8 UNIT APT,APT,CONDO/APT,32 Shelby St,32,Shelby St,East Boston,Shelby,2128
100382000,,,,,,,,,,,,,,280000,,,,,,,,,,42.380492,-71.021649,1900,1-FAM RES,R1F,CONVENTIONAL,1 Swift Ter,1,Swift Ter,East Boston,Swift,2128
100442000,,175000,,,,,,,,,,,,,,,,,,,,,,42.380842,-71.025267,1890,1-FAM RES,R1F,COLONIAL,546 Saratoga St,546,Saratoga St,East Boston,Saratoga,2128
100443000,,,,,,,,,326000,,,,,,,,,,,,,,,42.380819,-71.025324,1900,3-FAM RES,R3F,DECKER,544 Saratoga St,544,Saratoga St,East Boston,Saratoga,2128
100446000,,,325000,,,,,,,,,,,,,,,,,,,,,42.380753,-71.025496,1900,2-FAM RES,R2F,CONVENTIONAL,538 Saratoga St,538,Saratoga St,East Boston,Saratoga,2128
100451000,,,,,,,,,,,,,,,,,,719000,,,,,,42.380554,-71.026012,1905,3-FAM RES,R3F,ROW-MIDDLE,520 Saratoga St,520,Saratoga St,East Boston,Saratoga,2128
100536000,,,,,,,,,,,,,,,,,,,297102,,,,,42.386212,-71.010897,1960,CONDOMINIUM,RCD,TOWNHOUSE,910 Saratoga St,910,Saratoga St,East Boston,Saratoga,2128
100545000,,,,,,,,,,,,,201000,,,,,,,,,,,42.38522,-71.01355,1921,2-FAM RES,R2F,TWO FAMILY,852 Saratoga St,852,Saratoga St,East Boston,Saratoga,2128
100546000,,,,,,,,430000,,,,,,,,,,,,,,,,42.385194,-71.01362,1910,2-FAM RES,R2F,TWO FAMILY,850 Saratoga St,850,Saratoga St,East Boston,Saratoga,2128
100556000,,,,,,,,,,115000,,,,,,,,,,,,,,42.384634,-71.015137,1916,1-FAM RES,R1F,COLONIAL,810 Saratoga St,810,Saratoga St,East Boston,Saratoga,2128
100620000,,384900,,,,,,,,,,,,,,,,,,,,,,42.384237,-71.016192,1910,3-FAM RES,R3F,DECKER,784 Saratoga St,784,Saratoga St,East Boston,Saratoga,2128
100748000,,,,,,,,,,,,,,,150000,,,,,,,,,42.382501,-71.020825,1925,4-8 UNIT APT,APT,CONDO/APT,662-664 Saratoga St,662-664,Saratoga St,East Boston,Saratoga,2128
100773000,,,,,,345000,,,,,,,,,,,,,,,,,,42.382171,-71.02173,1890,2-FAM RES,R2F,TWO FAMILY,626-628 Saratoga St,626-628,Saratoga St,East Boston,Saratoga,2128
100779000,,,,,,,,,,,,,,,,,,,,,,1494500,,42.381937,-71.02237,1890,1-FAM RES,R1F,COLONIAL,602-604 Saratoga St,602-604,Saratoga St,East Boston,Saratoga,2128
100871000,,,,,,,,,256000,265000,,,,,,,,,,540000,,,,42.381776,-71.018675,1910,1-FAM RES,R1F,CONVENTIONAL,34 Horace St,34,Horace St,East Boston,Horace,2128
100909000,,,,,,,,,,,,,,,,,,559000,,,,,,42.382261,-71.017354,1910,2-FAM RES,R2F,CONVENTIONAL,64 Horace St,64,Horace St,East Boston,Horace,2128
100938000,,,,,,,,,,,295000,,,,,,,,,,,,,42.383933,-71.016457,1910,3-FAM RES,R3F,DECKER,789 Saratoga St,789,Saratoga St,East Boston,Saratoga,2128
101017000,,,,,,,,,,365000,,,,,,,,,,,,,,42.38457,-71.014764,1900,3-FAM RES,R3F,DECKER,825 Saratoga St,825,Saratoga St,East Boston,Saratoga,2128
101030000,,,,,,,,,,,,,,330000,,,,,,,,,,42.385146,-71.013208,1900,3-FAM RES,R3F,DECKER,857 Saratoga St,857,Saratoga St,East Boston,Saratoga,2128
101051000,,,,,,306000,370000,,,,,,,,,,,,,,,,,42.38527,-71.012874,1918,1-FAM RES,R1F,CONVENTIONAL,865 Saratoga St,865,Saratoga St,East Boston,Saratoga,2128
101060000,,,,,585000,,,,,,,,,,,,,,,,,,,42.385717,-71.011682,1900,4-8 UNIT APT,APT,CONDO/APT,889 Saratoga St,889,Saratoga St,East Boston,Saratoga,2128
101064000,,,,,,,,,,,,,,,520000,,,,,,,,,42.386014,-71.010887,1900,3-FAM RES,R3F,DECKER,905 Saratoga St,905,Saratoga St,East Boston,Saratoga,2128
101144000,,,,,,389000,,,,,,,,,,,,,,,,,,42.381978,-71.017847,1900,2-FAM RES,R2F,TWO FAMILY,91 Moore St,91,Moore St,East Boston,Moore,2128
101147000,,,,,,,,,,,,,,,,,,390000,,,,,,42.382215,-71.017203,1900,1-FAM RES,R1F,CAPE COD,59 Horace St,59,Horace St,East Boston,Horace,2128
101183000,,,,,,,,,,,,,,,,,,,,1147400,,,,42.381529,-71.016758,1910,3-FAM RES,R3F,DECKER,69 Homer St,69,Homer St,East Boston,Homer,2128
101186000,,,,,,,,,,,,,,308500,,,,,,,,,,42.381553,-71.016693,1910,2-FAM RES,R2F,CONVENTIONAL,75 Homer St,75,Homer St,East Boston,Homer,2128
101219000,,,,,,,,,,,,,,,,,,1005000,,1287500,,,,42.384043,-71.001668,1910,3-FAM RES,R3F,CONVENTIONAL,77 Saint Andrew Rd,77,Saint Andrew Rd,East Boston,Saint Andrew,2128
101220000,,,420000,,,,,,,,,,,,,,,,,,,,,42.384341,-71.002219,1912,3-FAM RES,R3F,CONVENTIONAL,81 Saint Andrew Rd,81,Saint Andrew Rd,East Boston,Saint Andrew,2128
101221000,,,,,,,590000,,,,,,,,,,,,,,,,,42.383912,-71.001305,1915,2-FAM RES,R2F,CONVENTIONAL,83-85 Saint Andrew Rd,83-85,Saint Andrew Rd,East Boston,Saint Andrew,2128
101241000,,,,,,,,,,,,,,,,575000,,,,,,,,42.385799,-71.0046,1915,3-FAM RES,R3F,DECKER,1059 Saratoga St,1059,Saratoga St,East Boston,Saratoga,2128
101307000,,,,,,,549900,,,,,,,,,,,,,,,,,42.384977,-71.00205,1920,2-FAM RES,R2F,TWO FAMILY,1124 Saratoga St,1124,Saratoga St,East Boston,Saratoga,2128
101360000,,,,,500000,,,,,,,,,,,,,,,,,,,42.384988,-71.0018,1960,REST/BAR,COM,,1144 Saratoga St,1144,Saratoga St,East Boston,Saratoga,2128
101399100,,,180000,,233400,255000,,,,,,,,,,,,,,,435000,,,42.389459,-70.996347,1982,CONDOMINIUM,RCD,LOW-RISE,18 Leverett Ave,18,Leverett Ave,East Boston,Leverett,2128
101433000,,,,,475000,,,,,,,,,,,,,,,,,,,42.385419,-71.006059,1895,1-FAM RES,R1F,COLONIAL,20 Thurston St,20,Thurston St,East Boston,Thurston,2128
101466000,,,,,,,,,,,,,,,,,,,,,,925000,,42.383321,-70.999446,1915,2-FAM RES,R2F,CONVENTIONAL,123 Saint Andrew Rd,123,Saint Andrew Rd,East Boston,Saint Andrew,2128
