geoid,Lat,Long,avg_permit_val,total permit valuation,total_num_permits,num_permit_norm,norm_perm_val,pop,num_sales_transactions,norm_num_transactions,mhi,total sales value,avg_sales_value,total_price_diff,price_diff_norm
25025010702,42.3518383,-71.0755131,18279.13017,34675509.93,329,0.141323024,14894.97849,2328,775,0.33290378,141250,4909730710,2586791.733,3150058566,1353117.941
25025070902,42.338807,-71.0774493,6068.17986,7809747.48,208,0.090434783,3395.542383,2300,536,0.233043478,115089,1023700665,794798.653,115695.69,50.30247391
25025010801,42.3541707,-71.0769092,8403.636483,17798902.07,221,0.077380952,6232.108568,2856,834,0.292016807,119125,2650776223,1249776.626,54550.77,19.10040966
25025010403,42.345075,-71.0880611,1429.338608,893336.63,79,0.024850582,281.0118371,3179,230,0.072349796,35853,607764451,970869.73,111778.81,35.1616263
25025030400,42.3637112,-71.0536706,6060.083905,9435550.64,346,0.083173077,2268.161212,4160,641,0.154086538,104514,1250549924,803179.1419,32325.31,7.770507212
25025060700,42.3385217,-71.0539041,,,,,,,,,,,,,
25025060800,42.3353908,-71.0514885,2059.911703,6241532.46,670,0.137888454,1284.530245,4859,1295,0.266515744,148750,1467586106,484351.8502,204768377.2,42142.08215
25025061000,42.3317196,-71.0499288,5811.807713,4370479.4,189,0.078228477,1808.973262,2416,345,0.142798013,72985,357818735,475822.7859,28728.19,11.89080712
25025070700,42.3458828,-71.0761507,9171.024419,10189008.13,201,0.079540958,4032.057036,2527,420,0.166204986,128313,1487534245,1338914.712,24099.7,9.536881678
25025060602,42.3441304,-71.0461108,0,0,18,0.054380665,0,331,48,0.145015106,104861,1165531556,12950350.62,2785.65,8.415861027
25025140106,42.2738738,-71.1371416,752.1659091,66190.6,66,0.03030303,30.39054178,2178,34,0.015610652,33235,39268686,446235.0682,2177.59,0.999811754
25025110201,42.280496,-71.1170508,2084.713722,840139.63,274,0.131037781,401.7884409,2091,141,0.067431851,67895,129620968,321640.1191,33216.33,15.8853802
25025080500,42.3356843,-71.0825085,3239.516245,897346,105,0.031934307,272.9154501,3288,101,0.030717762,39625,308893416,1115138.686,33571.54,10.21032238
25025140202,42.2495181,-71.117543,1589.350443,2118604.14,1093,0.187671703,363.7713152,5824,498,0.085508242,110179,547363431,410317.4145,25887.29,4.444933036
25025140300,42.2587734,-71.1188131,1868.583032,2711313.98,1042,0.152272395,396.2171533,6843,531,0.077597545,80696,691372447,476151.823,55901267.54,8169.116987
25025080801,42.3346063,-71.0962114,77102.29412,2621478,59,0.013778608,612.2087809,4282,13,0.003035965,28295,66816700,1965197.059,6293.96,1.469864549
25025140400,42.2692219,-71.1118088,1874.792495,3569604.91,1484,0.188828095,454.2059944,7859,700,0.089069856,67260,537100141,281794.4077,99247356.83,12628.49686
